id,phoneNo,location,occupation,certification,age,gender,type,availabilityPreference,availability,minimumWage,experience,clientsAttended,aadharCard,doorstepService ,references,liscenced,shoppingliscence
1,9810697234,Ambegaon,Accountant,false,19,Female,Part Time,Morning,Morning,7500,8,53,795542162653,no,false,false,true
2,9406725586,Ambegaon,Brick mason,true,36,Male,Full Time,Evening,Whole Day,7500,6,55,173055380425,no,true,false,false
3,9426155698,Ambegaon,Carpenter,false,22,Male,Part Time,Evening,Evening,5000,9,40,597083055177,yes,false,false,false
4,7581093633,Ambegaon,Cashier,false,24,Male,Part Time,Morning,Morning,3500,4,31,392458294223,no,true,false,false
5,9775691725,Ambegaon,Childcare Worker,true,35,Female,Part Time,Morning,Morning,5000,7,42,954517969111,yes,false,false,true
6,8814438463,Ambegaon,Cook,true,33,Male,Full Time,Afternoon,Whole Day,8500,6,44,961176644195,yes,true,false,true
7,8340541427,Ambegaon,Driver,true,21,Male,Part Time,Evening,Evening,8500,8,40,180443875153,yes,false,false,false
8,9546526336,Ambegaon,Electrician,false,23,Male,Full Time,Afternoon,Whole Day,6000,6,53,417786778254,yes,true,false,true
9,9384154856,Ambegaon,Hairdresser,true,39,Female,Part Time,Evening,Evening,6500,6,51,460079890521,no,true,false,true
10,9781731304,Ambegaon,Janitor,false,32,Male,Part Time,Morning,Morning,9500,7,58,785274929632,no,false,false,false
11,7021488163,Ambegaon,Maid,false,34,Female,Full Time,Morning,Whole Day,8000,8,52,948598086544,yes,false,false,true
12,8517437002,Ambegaon,Mehndi Artist,true,22,Female,Part Time,Afternoon,Afternoon,10000,9,49,001938369119,no,true,false,false
13,8761856597,Ambegaon,Painter,false,39,Male,Part Time,Morning,Morning,10000,9,49,503896543977,no,true,false,false
14,8165588342,Ambegaon,Plumber,true,39,Male,Full Time,Afternoon,Whole Day,5000,9,55,490756607327,yes,false,false,false
15,8881840672,Ambegaon,Receptionist,false,26,Male,Part Time,Afternoon,Afternoon,5000,6,48,962352490912,no,false,false,false
16,7651798138,Ambegaon,Security Guard,false,28,Male,Part Time,Afternoon,Afternoon,5000,7,54,181412237917,yes,false,false,true
17,9409206188,Ambegaon,Tailor,true,23,Male,Part Time,Evening,Evening,8000,6,48,631453733295,no,true,false,false
18,8440377634,Ambegaon,Waiter,true,38,Male,Full Time,Afternoon,Whole Day,7500,10,51,909837626234,no,true,false,false
19,8302880852,Ambegaon,Waitress,true,26,Female,Full Time,Morning,Whole Day,7000,7,54,969331116050,no,true,false,true
20,9611695843,Ambegaon,Worker,false,22,Male,Part Time,Afternoon,Afternoon,2000,1,16,375263750285,yes,true,false,false
21,8963227910,Ambegaon,Salesperson,true,35,Male,Full Time,Morning,Whole Day,10000,6,47,805717678749,no,false,false,true
22,8773218735,Ambegaon,Delivery Boy,true,35,Male,Part Time,Afternoon,Afternoon,9500,8,56,127816136917,yes,true,false,false
23,7128303833,Ambegaon,Mechanic,false,32,Male,Part Time,Morning,Morning,8500,8,56,863060971222,yes,false,false,false
24,9871916161,Aundh,Accountant,true,22,Female,Full Time,Evening,Whole Day,9500,6,58,468053276847,no,true,false,true
25,9199604909,Aundh,Brick mason,false,36,Male,Full Time,Morning,Whole Day,9000,7,49,617782752973,no,true,false,false
26,7508936918,Aundh,Carpenter,false,25,Male,Part Time,Evening,Evening,6000,10,43,521994795830,yes,true,false,false
27,8558869198,Aundh,Cashier,false,23,Female,Part Time,Evening,Evening,5000,10,59,429872286345,no,true,false,false
28,7439973434,Aundh,Childcare Worker,false,27,Female,Part Time,Afternoon,Afternoon,2500,4,28,965559231579,yes,false,false,false
29,8308604939,Aundh,Cook,false,36,Male,Full Time,Afternoon,Whole Day,4000,3,28,753233693866,yes,false,false,true
30,9584355915,Aundh,Driver,false,31,Male,Part Time,Afternoon,Afternoon,2000,5,30,967768479492,yes,false,false,false
31,9503992728,Aundh,Electrician,false,21,Male,Part Time,Morning,Morning,9500,9,52,991435338582,yes,true,false,true
32,9307458390,Aundh,Hairdresser,false,35,Female,Full Time,Morning,Whole Day,10000,10,47,975256953519,no,false,false,true
33,9287784327,Aundh,Janitor,false,25,Male,Full Time,Morning,Whole Day,3500,4,23,916140549976,no,false,false,true
34,9332366572,Aundh,Maid,true,40,Female,Part Time,Afternoon,Afternoon,2500,1,18,664840994830,yes,false,false,true
35,9975513360,Aundh,Mehndi Artist,true,36,Female,Full Time,Morning,Whole Day,2000,3,28,482279288464,no,true,false,true
36,8354929430,Aundh,Painter,true,25,Male,Part Time,Morning,Morning,7000,7,59,208698988694,no,true,false,false
37,7508026237,Aundh,Plumber,false,33,Male,Full Time,Afternoon,Whole Day,3000,5,32,171099326569,yes,true,false,true
38,9872261079,Aundh,Receptionist,false,34,Female,Part Time,Evening,Evening,8500,10,60,957093717052,no,false,false,false
39,9702686710,Aundh,Security Guard,false,34,Male,Part Time,Afternoon,Afternoon,9500,7,51,782372448117,yes,true,false,false
40,8377633509,Aundh,Tailor,true,33,Male,Full Time,Afternoon,Whole Day,9000,6,54,642759207817,no,true,false,false
41,9320515141,Aundh,Waiter,true,25,Male,Part Time,Morning,Morning,4000,5,36,010765858648,no,false,false,true
42,7118460178,Aundh,Waitress,true,25,Female,Full Time,Evening,Whole Day,4000,1,6,420267539015,no,true,false,true
43,9204978036,Aundh,Worker,true,36,Male,Part Time,Evening,Evening,8500,7,53,920434124453,yes,true,false,true
44,9426070550,Aundh,Salesperson,true,31,Male,Part Time,Evening,Evening,8500,6,52,288837564157,no,true,false,false
45,9135245520,Aundh,Delivery Boy,false,35,Male,Part Time,Evening,Evening,2000,4,24,480853863042,yes,false,false,false
46,7004143233,Aundh,Mechanic,true,26,Male,Part Time,Evening,Evening,8000,6,41,926999495378,yes,false,false,false
47,9988661048,Bibewadi,Accountant,false,27,Female,Part Time,Afternoon,Afternoon,9500,10,50,643803340790,no,true,false,false
48,9438739871,Bibewadi,Brick mason,false,39,Male,Full Time,Afternoon,Whole Day,4000,4,35,921873713044,no,true,false,false
49,9595445656,Bibewadi,Carpenter,false,27,Male,Part Time,Evening,Evening,8500,8,48,708449170732,yes,true,false,false
50,9024066649,Bibewadi,Cashier,true,34,Female,Part Time,Evening,Evening,8000,7,48,085220657227,no,false,false,false
51,9961206004,Bibewadi,Childcare Worker,false,22,Female,Full Time,Morning,Whole Day,6500,10,43,779961223543,yes,false,false,true
52,9311050687,Bibewadi,Cook,true,34,Male,Part Time,Evening,Evening,2000,1,15,792488868620,yes,false,false,true
53,8249297100,Bibewadi,Driver,false,34,Male,Full Time,Evening,Whole Day,4000,3,37,334357045967,yes,false,false,false
54,8240372794,Bibewadi,Electrician,true,39,Male,Full Time,Evening,Whole Day,4500,4,24,527528106430,yes,true,false,false
55,8203983253,Bibewadi,Hairdresser,false,33,Female,Full Time,Afternoon,Whole Day,8500,9,46,364760193767,no,true,false,false
56,9025049087,Bibewadi,Janitor,true,21,Male,Full Time,Afternoon,Whole Day,3500,5,24,025249727140,no,false,false,true
57,8179721411,Bibewadi,Maid,false,26,Female,Full Time,Morning,Whole Day,9000,7,48,158767357065,yes,true,false,true
58,9210941832,Bibewadi,Mehndi Artist,false,22,Female,Part Time,Evening,Evening,3000,1,9,693187178990,no,false,false,false
59,9714006888,Bibewadi,Painter,false,23,Male,Full Time,Morning,Whole Day,2000,2,8,110342237686,no,false,false,true
60,9397204878,Bibewadi,Plumber,false,24,Male,Part Time,Morning,Morning,7000,10,52,123189268523,yes,false,false,false
61,8677404514,Bibewadi,Receptionist,true,20,Male,Full Time,Evening,Whole Day,6500,7,50,654651208538,no,false,false,true
62,7528884851,Bibewadi,Security Guard,true,36,Male,Full Time,Evening,Whole Day,5500,8,47,639049238427,yes,true,false,false
63,7110301807,Bibewadi,Tailor,false,36,Male,Full Time,Evening,Whole Day,10000,6,50,287215458785,no,true,false,true
64,9674501191,Bibewadi,Waiter,false,21,Male,Part Time,Morning,Morning,2500,3,38,344431308576,no,false,false,false
65,9196736259,Bibewadi,Waitress,false,22,Female,Full Time,Afternoon,Whole Day,5500,7,47,977338524006,no,false,false,false
66,9246189379,Bibewadi,Worker,false,24,Male,Part Time,Morning,Morning,5000,6,47,975730850412,yes,false,false,false
67,9558850244,Bibewadi,Salesperson,true,21,Female,Full Time,Afternoon,Whole Day,5500,10,59,408049457885,no,true,false,false
68,9342058421,Bibewadi,Delivery Boy,true,23,Male,Part Time,Morning,Morning,4000,1,17,697579592621,yes,true,false,true
69,8796622944,Bibewadi,Mechanic,true,20,Male,Part Time,Evening,Evening,6000,7,50,950109774559,yes,false,false,true
70,9508160465,Balewadi,Accountant,false,37,Male,Full Time,Evening,Whole Day,6000,10,49,006291722804,no,false,false,true
71,9986550654,Balewadi,Brick mason,false,35,Male,Part Time,Afternoon,Afternoon,10000,7,47,722682137526,no,false,false,true
72,7564052063,Balewadi,Carpenter,false,38,Male,Part Time,Morning,Morning,2000,5,21,798626076923,yes,false,false,false
73,7790602282,Balewadi,Cashier,false,28,Male,Full Time,Morning,Whole Day,7000,7,57,515893511098,no,true,false,true
74,9999255509,Balewadi,Childcare Worker,false,18,Female,Full Time,Morning,Whole Day,6000,7,43,643557042077,yes,false,false,true
75,7802906199,Balewadi,Cook,false,36,Male,Part Time,Afternoon,Afternoon,7500,10,50,656668476938,yes,false,false,true
76,9051557686,Balewadi,Driver,false,40,Male,Part Time,Evening,Evening,6000,9,42,151976935057,yes,false,false,false
