id,phoneNo,location,occupation,certification,age,gender,type,availabilityPreference,availability,minimumWage,experience,clientsAttended,aadharCard,doorstepService ,references,liscenced,shoppingliscence
1,9326523642,Ambegaon,Accountant,true,26,Female,Full Time,Afternoon,Whole Day,9500,8,49,065660562714,no,false,false,true
2,7029738484,Ambegaon,Brick mason,true,36,Male,Part Time,Morning,Morning,4000,4,25,394728990924,no,false,false,true
3,8386070476,Ambegaon,Carpenter,true,31,Male,Part Time,Evening,Evening,5500,8,42,777556713881,yes,true,false,false
4,8208265762,Ambegaon,Cashier,false,20,Female,Part Time,Evening,Evening,2500,2,13,938143072796,no,true,false,true
5,9127458171,Ambegaon,Childcare Worker,true,33,Female,Full Time,Evening,Whole Day,2000,3,28,112614367501,yes,true,false,true
6,8663358110,Ambegaon,Cook,false,33,Male,Part Time,Afternoon,Afternoon,5000,8,40,449482241692,yes,true,false,true
7,8421533240,Ambegaon,Driver,true,38,Male,Part Time,Afternoon,Afternoon,2500,5,39,669435691106,yes,false,false,false
8,8360631183,Ambegaon,Electrician,true,21,Male,Part Time,Afternoon,Afternoon,9000,9,52,565056138570,yes,true,false,true
9,9589410620,Ambegaon,Hairdresser,true,30,Female,Full Time,Evening,Whole Day,5000,6,56,903792472758,no,false,false,false
10,9154473545,Ambegaon,Janitor,false,30,Male,Full Time,Evening,Whole Day,5000,7,45,704014354324,no,true,false,true
11,8832009653,Ambegaon,Maid,true,24,Female,Part Time,Afternoon,Afternoon,10000,10,51,559393256570,yes,false,false,true
12,7581947908,Ambegaon,Mehndi Artist,false,30,Female,Full Time,Evening,Whole Day,3500,2,9,236542494719,no,true,false,true
13,9220938437,Ambegaon,Painter,false,37,Male,Full Time,Evening,Whole Day,4500,5,37,214351490547,no,false,false,false
14,9589612131,Ambegaon,Plumber,false,20,Male,Full Time,Morning,Whole Day,3500,2,13,190847629948,yes,true,false,false
15,9787334403,Ambegaon,Receptionist,false,18,Female,Full Time,Afternoon,Whole Day,9500,6,45,803243956467,no,true,false,true
16,9860160339,Ambegaon,Security Guard,false,37,Male,Full Time,Morning,Whole Day,4000,5,39,922818903435,yes,true,false,true
17,9101587195,Ambegaon,Tailor,false,21,Male,Part Time,Morning,Morning,9000,6,41,634161574415,no,true,false,true
18,8275636973,Ambegaon,Waiter,false,20,Male,Full Time,Morning,Whole Day,9500,8,44,110378566846,no,false,false,true
19,7526666063,Ambegaon,Waitress,true,30,Female,Full Time,Evening,Whole Day,7000,6,52,818129138619,no,true,false,true
20,8432269939,Ambegaon,Worker,true,36,Male,Full Time,Afternoon,Whole Day,3000,4,20,615922334114,yes,true,false,true
21,7681677131,Ambegaon,Salesperson,true,32,Male,Part Time,Morning,Morning,7500,9,42,955826603067,no,true,false,false
22,9140263882,Ambegaon,Delivery Boy,false,26,Male,Full Time,Evening,Whole Day,2500,2,13,247623315378,yes,true,false,false
23,7863250729,Ambegaon,Mechanic,false,29,Male,Part Time,Morning,Morning,8000,10,40,737347109331,yes,false,false,false
24,9380315466,Aundh,Accountant,false,36,Male,Part Time,Evening,Evening,5500,8,49,645161348459,no,false,false,false
25,9827394857,Aundh,Brick mason,true,34,Male,Full Time,Evening,Whole Day,9000,6,56,671807796718,no,true,false,false
26,7507225990,Aundh,Carpenter,true,23,Male,Part Time,Afternoon,Afternoon,10000,9,42,704458506227,yes,false,false,false
27,7493682492,Aundh,Cashier,false,34,Male,Full Time,Afternoon,Whole Day,10000,9,50,844137486144,no,false,false,false
